twhandle,name,fcnt,profs
@DidemUzelSARI,Didem Üzel Sarı,2,"Dizi oyuncusu, Manken"
@didem_soydan,Didem Soydan,0,Manken
@dmtevgar,Demet Evgar,52,Dizi oyuncusu
@Doarutkay,Doğa Rutkay,79,Sanatçı
@DOGANAKINT24,Doğan Akın,1,Gazeteci
@DoganCuceloglu,Doğan Cüceloğlu,9,"Akademisyen, Yazar"
@doganduru,Doğan Duru,8,Sanatçı
@DogusOfficial,Doğuş,25,Şarkıcı
@doguyucel,Doğu Yücel,16,Yazar
@DOSTLARTIYATRO,Genco Erkal,6,Sanatçı
@DrArguden,Dr. Argüden,2,Danışman
@drcemkece,Cem Keçe,0,"Bilim insanı, Yazar"
@drerolkose,Erol Köse,113,Yapımcı
@drgurbuzcapan,Gürbüz ÇAPAN,9,Politikacı
@drhaluksavas,Prof. Dr. Haluk Savaş,1,"Akademisyen, Bilim insanı"
@drorhanatalay65,orhan atalay,2,"Milletvekili, AK Parti"
@DrSinanOgan,Sinan Oğan,21,"Milletvekili, MHP"
@Dr_K_Aydin,Kemalettin Aydın,4,"Milletvekili, AK Parti"
@dsatmis,Doğan Satmış,1,Gazeteci
@ducane,Dücane Cündioğlu,3,Yazar
@DudekSenay,Şenay DÜDEK,16,Gazeteci
@duygucetinkaya,Duygu Çetinkaya,17,Magazin ünlüsü
@D_AliTorlak,Ali Torlak,5,"Milletvekili, MHP"
@eadksk,Engin Altan Duzyatan,41,"Dizi oyuncusu, Sunucu"
@ebabahan,Ergun Babahan,24,Gazeteci
@ebasaksengul,Başak Şengül,9,
@EbruBaki,Ebru Baki,31,"Gazeteci, Sunucu"
@ebrucapa,Ebru Çapa,16,"Gazeteci, Köşe yazarı"
@ebrudestaninan,Ebru Destan İnan,19,"Manken, Şarkıcı"
@EbruGundes,Ebru Gündeş,196,Şarkıcı
@ebrusallitan,Ebru Şallı Tan,56,"Manken, Sporcu, Sunucu"
@EbruYasarOnline,Ebru Yaşar,21,Şarkıcı
@Ebru_Polat,Ebru Polat,234,Şarkıcı
@ebru_sanci,Ebru Şancı,33,"Magazin ünlüsü, Manken"
@Ece44,Ece Uslu,13,Dizi oyuncusu
@eceerken,Ece Erken,195,Sunucu
@ecem_gursel,Ece Gürsel,0,Şarkıcı
@ecevahapoglu,Ece Vahapoğlu,34,"Sunucu, Yazar"
@ece_sukan,Ece Sukan,54,"Modacı, Manken"
@edaeceu,Eda Ece,0,Dizi oyuncusu
@edibesozen,Edibe Sözen,16,Politikacı
@edihvet,Şebnem Sönmez,17,"Dizi oyuncusu, Tiyatro oyuncusu"
@efkanala,Efkan Âlâ,3,Politikacı
@EgemenBagis,Egemen Bağış,49,"Milletvekili, AK Parti"
@egzOzpirincci,Ozge Ozpirincci,18,Sanatçı
@ekinturkmen,Ekin Türkmen,31,Dizi oyuncusu
@EkremDumanli,Ekrem Dumanlı,10,Gazeteci
@eksihabermas,Ekşihabermas,22,Twitter ünlüsü
@ekurkcuHDP,Ertuğrul Kürkçü,8,"Milletvekili, HDP"
@elifaktug,Elif Aktug,26,Köşe Yazarı
@elifcakirr,Elif Çakır,16,Köşe yazarı
@ElifD1,Elif Dagdeviren,23,"Gazeteci, Yapımcı"
@elifilgaz,Elif Ilgaz,25,Gazeteci
@elifkey,Elif Key,17,Gazeteci
@Elif_Safak,Elif Şafak,62,Yazar
@elonue,Esra Elönü,0,"Sunucu, Yorumcu"
@Elvin_Aghayev,Elvin Aghayev,1,"Akademisyen, Sivil toplum girişimcisi"
@emavioglu,Ertugrul Mavioglu,2,Gazeteci
@emin_ekmen,Mehmet Emin Ekmen,7,Politikacı
@emirsarigul,Emir Sarıgül,0,İş adamı
@EmrahHattat,emrah hattat,3,İş adamı
@EmrahSerbes,Emrah Serbes,2,Yazar
@emrealkin1969,Emre Alkin,6,Akademisyen
@emrealt,emre altug,44,"Şarkıcı, Dizi oyuncusu"
@emreaydin,Emre Aydın,40,Şarkıcı
@emrecolak1010,EMRE ÇOLAK,22,Sporcu
@emrekarayel01,emre karayel,38,Tiyatro oyuncusu
@emrekkinay,Emre Kinay,5,Sanatçı
@EmreUslu,Emre Uslu,34,Gazeteci
@emrkongar,Emre Kongar,2,"Akademisyen, Köşe yazarı, Yazar"
@enginozkoc,Engin Özkoç,2,Milletvekili
@enisarikan,Enis Arıkan,1,Twitter ünlüsü
@enveraysever2,enver aysever,26,"Gazeteci, Sunucu, Yazar"
@EnverYucel,Enver Yücel,2,İş adamı
@EratalaySevinc,Sevinç Eratalay,24,Sanatçı
@erbilmehmetali,mehmetalierbil,28,"Sanatçı, Sunucu"
@ercaninanvatan,Ercan İnan,0,Gazeteci
@ercan_karakas,Ercan Karakaş,2,Politikacı
@Erdal_Sen,Erdal Şen,2,"Gazeteci, Yazar"
@ERDEMYENER,Erdem Yener,12,Sanatçı
@erdgnbayraktr,Erdoğan Bayraktar,8,"Milletvekili, AK Parti"
@erdilyasaroglu,Erdil Yasaroglu,21,Sanatçı
@erdoganarikan,Erdoğan Arıkan,28,Sunucu
@erenegilmez,Eren Eğilmez,7,"Gazeteci, Köşe yazarı"
@erenerdemnet,Eren Erdem,0,Gazeteci
@erginataman,Ergin Ataman,3,Teknik direktör
@erginsadullah,Sadullah Ergin,2,"Milletvekili, AK Parti"
@ErginSadulllah,Harun KARACA,2,"Milletvekili, AK Parti"
@erguven11,Erhan Güven,1,Gazeteci
@ErhanErkut,Erhan Erkut,4,Akademisyen
@erhan_basyurt,Erhan Başyurt,5,"Gazeteci, Köşe yazarı"
@Erhan_Celikk,Erhan ÇELİK,5,Gazeteci
@erkan_akkus,Erkan Akkuş,45,Gazeteci
@ErknCan,Erkan Can,8,Sanatçı
@ErolEsra,Esra Erol,85,Sunucu
@erolgoka,Erol Göka,10,"Akademisyen, Politikacı"
@erolkaya_ist,Erol Kaya,4,"Milletvekili, AK Parti"
@ersinduzen,Ersin Düzen,9,Sunucu
@ersozhuseyin,Hüseyin Ersöz,6,Avukat
@ertanaydin,Ertan Aydın,1,"Akademisyen, Danışman"
@ErtugrulGunay,Ertuğrul Günay,27,"Milletvekili, Bağımsız"
@ErtugrulTSKRN,Ertuğrul Taşkıran,3,Sporcu
@esatcanan,Esat Canan,3,"Milletvekili, BDP"
@eseryenenler,Eser YENENLER,35,"Sunucu, Tiyatro oyuncusu"
@esesci,Sedat Kapanoğlu,1,İş adamı
@esinovet,Esin Övet,22,"Köşe Yazarı, Sunucu"
@esraceydaersoy,Esra & Ceyda,110,Magazin ünlüsü
@ETemelkuran,Ece Temelkuran,53,"Yazar, Yorumcu"
@ethemkutu,Ethem K.,1,İş adamı
@EToprakCHP,Erdoğan Toprak,6,"Milletvekili, CHP"
@EUTarhan,Emine Ülker Tarhan,25,"Milletvekili, CHP"
@eylulonline,Eylül Özturk,9,Twitter ünlüsü
@EYorgancilar,Erder Yorgancılar,0,İş adamı
@EYPMUHCU,Eyüp Muhcu,3,Sivil toplum girişimcisi
@eyuboglualice,Ali  Eyüboğlu,14,Köşe Yazarı
@eyupcansaglik,Eyüp Can,4,Gazeteci
@ezgibasaran,Ezgi Basaran,32,Gazeteci
@ezgimola,ezgi mola,74,Sanatçı
@ezop2011,Ezel Akay,4,Tiyatro oyuncusu
@E_Sarizeybek,Erdal Sarızeybek,17,"Yazar, Emekli subay"
@FadikAtasoy,Fadik Sevin Atasoy,45,Sanatçı
@fadimeozkan,Fadime Özkan,11,Gazeteci
@faikoztrak,Faik Öztrak,0,"Milletvekili, CHP"
@FaikTUNAY,Faik Tunay,7,"Milletvekili, CHP"
@FARACYAZIYOR,Mehmet Faraç,9,Gazeteci
@farukbalkonya,Faruk Bal,0,"Milletvekili, MHP"
@farukbildirici,Faruk Bildirici,7,Gazeteci
@farukec,Faruk Eczacibasi,10,İş adamı
@farukmercan,Faruk Mercan,11,Gazeteci
@FarukSorak,Ömer Faruk Sorak,8,Yönetmen
@fatihaltayli,Fatih Altayli,49,Gazeteci
@fatihportakal,Fatih Portakal,108,"Gazeteci, Sunucu"
@fatihtezcan,Fatih Tezcan,2,"Yazar, Yorumcu"
@fatihurekk,Fatih Urek,8,Şarkıcı
@FatmaSahin2023,Fatma Şahin,33,"Milletvekili, AK Parti"
@Fatma_Barbaros,Fatma Barbarosoğlu,4,Köşe yazarı
@fatosgurkan,Fatoş Gürkan,4,"Milletvekili, AK Parti"
@fatoskarahasan,Fatoş Karahasan,13,Gazeteci
@fatos_kabasakal,Fatoş Kabasakal,26,"Sunucu, Dizi oyuncusu"
@femgucluturk,fem güçlütürk,7,Yazar
@Fenerbahce,Fenerbahçe SK,39,Spor kulübü
@fenerlicavus,omer cavusoglu,3,"İş adamı, Yorumcu"
@feraitinc,ferai tinc,2,Gazeteci
@feramuzustun,Feramuz Üstün,3,Milletvekili
@FerdanErgut,Ferdan Ergut,18,"Politikacı, Akademisyen"
@FerdiCarrefour,Ferdi Carrefour,53,Twitter ünlüsü
@ferhan_sensoy,Ferhan Şensoy,0,Sanatçı
@ferhatgocer,Ferhat Göçer,28,Şarkıcı
@ferhatkentel,Ferhat Kentel,0,Akademisyen
@ferhatttunc,Ferhat Tunç,26,Politikacı
@feridun_duzagac,Feridun Düzağaç,24,Sanatçı
@FeryalGulman,Feryal Gulman,1,Magazin ünlüsü
@ferzanozpetek,Ferzan Ozpetek,8,Yönetmen
