twhandle,name,fcnt,profs
@ElifD1,Elif Dagdeviren,23,"Journalist, Producer"
@elifilgaz,Elif Ilgaz,25,Journalist
@elifkey,Elif Key,17,Journalist
@Elif_Safak,Elif Şafak,62,Author
@elonue,Esra Elönü,0,"TV host, Commentator"
@Elvin_Aghayev,Elvin Aghayev,1,"Academician, Social entrepreneur"
@emavioglu,Ertugrul Mavioglu,2,Journalist
@emin_ekmen,Mehmet Emin Ekmen,7,Politician
@emirsarigul,Emir Sarıgül,0,Businessman
@EmrahHattat,emrah hattat,3,Businessman
@EmrahSerbes,Emrah Serbes,2,Author
@emrealkin1969,Emre Alkin,6,Academician
@emrealt,emre altug,44,"Musician, TV Series actor"
@emreaydin,Emre Aydın,40,Musician
@emrecolak1010,EMRE ÇOLAK,22,Athlete
@emrekarayel01,emre karayel,38,Theater Actor
@emrekkinay,Emre Kinay,5,Artist
@EmreUslu,Emre Uslu,34,Journalist
@emrkongar,Emre Kongar,2,"Academician, Columnist, Author"
@enginozkoc,Engin Özkoç,2,"CHP, MP"
@enisarikan,Enis Arıkan,1,Twitter Phenomenon
@enveraysever2,enver aysever,26,"Journalist, TV host, Author"
@EnverYucel,Enver Yücel,2,Businessman
@EratalaySevinc,Sevinç Eratalay,24,Artist
@erbilmehmetali,mehmetalierbil,28,"Artist, TV host"
@ercaninanvatan,Ercan İnan,0,Journalist
@ercan_karakas,Ercan Karakaş,2,Politician
@Erdal_Sen,Erdal Şen,2,"Journalist, Author"
@ERDEMYENER,Erdem Yener,12,Artist
@erdgnbayraktr,Erdoğan Bayraktar,8,"MP, AKP"
@erdilyasaroglu,Erdil Yasaroglu,21,Artist
@erdoganarikan,Erdoğan Arıkan,28,TV host
@erenegilmez,Eren Eğilmez,7,"Journalist, Columnist"
@erenerdemnet,Eren Erdem,0,Journalist
@erginataman,Ergin Ataman,3,Coach
@erginsadullah,Sadullah Ergin,2,"MP, AKP"
@ErginSadulllah,Harun KARACA,2,"MP, AKP"
@erguven11,Erhan Güven,1,Journalist
@ErhanErkut,Erhan Erkut,4,Academician
@erhan_basyurt,Erhan Başyurt,5,"Journalist, Columnist"
@Erhan_Celikk,Erhan ÇELİK,5,Journalist
@erkan_akkus,Erkan Akkuş,45,Journalist
@ErknCan,Erkan Can,8,Artist
@ErolEsra,Esra Erol,85,TV host
@erolgoka,Erol Göka,10,"Academician, Politician"
@erolkaya_ist,Erol Kaya,4,"MP, AKP"
@ersinduzen,Ersin Düzen,9,TV host
@ersozhuseyin,Hüseyin Ersöz,6,Lawyer
@ertanaydin,Ertan Aydın,1,"Academician, Consultant"
@ErtugrulGunay,Ertuğrul Günay,27,"MP, Independent"
@ErtugrulTSKRN,Ertuğrul Taşkıran,3,Athlete
@esatcanan,Esat Canan,3,"MP, HDP"
@eseryenenler,Eser YENENLER,35,"TV host, Theater Actor"
@esesci,Sedat Kapanoğlu,1,Businessman
@esinovet,Esin Övet,22,"Columnist, TV host"
@esraceydaersoy,Esra & Ceyda,110,Celebrity
